EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
DEATH;;;;;;;;;;;;;
GATE;1;1;1;709.4600;711.1600;1.7000;1;1;0.2000;3;0.7600;0.0000;1.0006;0.0000;0;0;0
GATE;2;2;2;714.3200;716.3600;2.0400;1;1;0.5000;3;0.9600;0.0000;1.2339;0.0000;0;0;0
GATE;3;3;3;717.8000;718.7200;0.9200;1;0;0.0000;0;-1.0000;0.3178;0.0000;0.9161;187.6497;3.2691;12.6177
GATE;4;4;4;724.1200;725.1600;1.0400;1;1;0.1400;3;0.4600;0.0000;0.8642;0.0000;0;0;0
GATE;5;5;5;725.2000;726.2800;1.0800;1;0;0.0000;0;-1.0000;0.1341;0.0000;0.8331;164.6186;1.8409;58.8905
GATE;6;6;6;726.5200;727.5800;1.0600;1;1;0.1200;3;0.4800;0.0000;0.8443;0.0000;0;0;0
GATE;7;7;7;729.5200;730.5800;1.0600;1;1;0.1200;3;0.4800;0.0000;1.0597;0.0000;0;0;0
GATE;8;8;8;731.0400;731.8600;0.8200;1;0;0.0000;0;-1.0000;0.3609;0.0000;0.8208;87.3592;2.4715;60.0720
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
