EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
DEATH;;;;;;;;;;;;;
GATE;1;1;1;14.6600;15.9400;1.2800;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.7821;109.5313;2.2555;11.4737
GATE;2;2;2;19.8000;21.2400;1.4400;1;0;0.0000;0;-1.0000;0.8517;0.0000;1.4100;157.5049;5.1213;11.4042
GATE;3;3;3;22.7800;23.8600;1.0800;1;1;0.4600;2;0.6200;0.2538;0.0000;1.0845;0;0;0
DEATH;;;;;;;;;;;;;
GATE;1;1;1;29.8000;31.4800;1.6800;1;1;0.2200;2;0.7400;0.0000;1.0223;0.0000;0;0;0
GATE;2;2;2;35.0400;36.6600;1.6200;1;1;0.1800;3;0.8000;0.0000;1.6268;0.0000;0;0;0
GATE;3;3;3;38.5000;39.9000;1.4000;1;1;0.2000;2;0.7400;0.0000;1.2445;0.1323;0;0;0
GATE;4;4;4;46.5600;47.6000;1.0400;1;1;0.1200;2;0.4600;0.0000;0.8029;0.0000;0;0;0
GATE;5;5;5;47.6200;48.6600;1.0400;1;1;0.0600;3;0.4400;0.0000;0.0000;0.6767;164.7048;1.8466;59.3735
GATE;6;6;6;48.8800;49.9400;1.0600;1;1;0.1200;3;0.4800;0.0000;0.9760;0.0000;0;0;0
GATE;7;7;7;51.9200;52.9600;1.0400;1;1;0.1600;3;0.4400;0.0000;1.0448;0.0000;0;0;0
GATE;8;8;8;53.3600;54.3400;0.9800;1;0;0.0000;0;-1.0000;0.4660;0.0000;0.9905;87.4229;2.5279;62.5091
