EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
GATE;1;1;1;10.0800;11.8000;1.7200;1;1;0.2200;3;0.7400;0.0000;1.7321;0.0000;0;0;0
GATE;2;2;2;15.2800;16.9800;1.7000;1;1;0.2000;3;0.7600;0.0000;1.7139;0.0000;0;0;0
GATE;3;3;3;18.9600;21.3600;2.4000;1;1;0.4800;2;0.7800;0.0000;1.6374;0.5470;0;0;0
GATE;4;4;4;28.3000;29.3400;1.0400;1;1;0.1200;3;0.4600;0.0000;0.8489;0.0000;0;0;0
GATE;5;5;5;29.3600;30.1400;0.7800;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.5368;0;0;0
GATE;6;6;6;30.5000;31.5800;1.0800;1;1;0.1400;3;0.5000;0.0000;0.9820;0.0000;0;0;0
GATE;7;7;7;33.5400;34.6400;1.1000;1;1;0.1400;3;0.4400;0.0000;1.0992;0.0000;0;0;0
GATE;8;8;8;35.2000;36.6200;1.4200;1;1;0.7400;1;0.5000;0.0000;0.4639;0.9603;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;44.5000;45.3600;0.8600;1;1;0.1600;2;0.3600;0.0000;0.0000;0.6197;178.3895;2.2316;59.6480
GATE;5;5;5;45.3600;46.9800;1.6200;1;1;0.9000;3;0.5200;0.0000;0.0000;0.7435;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;55.7000;56.7400;1.0400;1;1;0.1200;3;0.4800;0.0000;0.6390;0.0000;0;0;0
GATE;5;5;5;56.7600;57.4800;0.7200;1;1;0.0400;1;0.3600;0.0000;0.0000;0.4642;164.3952;1.8408;56.5858
GATE;6;6;6;57.6600;58.7800;1.1200;1;1;0.1400;3;0.5000;0.0000;0.8454;0.0719;0;0;0
GATE;7;7;7;60.7600;61.8200;1.0600;1;1;0.1400;3;0.4600;0.0000;1.0557;0.0000;0;0;0
GATE;8;8;8;62.4200;63.3400;0.9200;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.5978;87.0992;1.7636;59.9243
DEATH;;;;;;;;;;;;;
