EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
GATE;1;1;1;745.5600;747.7400;2.1800;1;0;0.0000;0;-1.0000;0.8222;0.0000;2.0237;109.4744;8.4873;11.0196
GATE;2;2;2;750.7200;751.9800;1.2600;1;0;0.0000;0;-1.0000;0.4874;0.0000;0.8545;157.4648;2.2409;10.3290
GATE;3;3;3;754.3000;755.5200;1.2200;1;0;0.0000;0;-1.0000;0.4979;0.0000;0.9462;187.6995;2.2798;9.2942
GATE;4;4;4;762.5400;764.2400;1.7000;1;1;0.1201;4;0.3000;0.0300;0.0000;1.5899;178.7309;2.4551;58.8364
GATE;6;6;6;766.1200;767.0800;0.9600;1;1;0.3199;2;0.6400;0.0000;0.0000;0.9561;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;780.6200;782.2800;1.6600;1;0;0.0000;0;-1.0000;1.1311;0.0000;1.6570;178.6166;4.6767;56.3985
GATE;5;5;5;782.3000;783.7200;1.4200;1;0;0.0000;0;-1.0000;0.3184;0.0000;1.4237;164.7906;8.9369;56.6563
DEATH;;;;;;;;;;;;;
GATE;4;4;4;793.6200;795.9600;2.3400;1;1;0.4401;5;0.2200;0.8785;0.0000;2.1578;178.6010;2.2455;55.5762
GATE;5;5;5;795.9800;807.3600;11.3800;1;0;0.0000;0;-1.0000;0.7020;0.0000;9.9892;164.7883;6.7891;57.7303
GATE;6;6;6;807.7000;808.8400;1.1400;1;0;0.0000;0;-1.0000;0.1890;0.0000;1.1331;147.6232;3.4845;60.3710
GATE;6;6;6;809.3200;810.3000;0.9800;1;1;0.0800;2;0.2200;0.3352;0.0000;0.9823;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;818.7800;819.8200;1.0400;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0000;0;0;0
GATE;5;5;5;819.8200;821.3000;1.4800;1;0;0.0000;0;-1.0000;0.3783;0.0000;1.1170;164.7922;1.9327;57.0566
GATE;6;6;6;821.5400;822.8200;1.2800;1;0;0.0000;0;-1.0000;0.7961;0.0000;1.2792;147.5379;3.7511;58.3365
DEATH;;;;;;;;;;;;;
GATE;4;4;4;834.1000;834.8200;0.7200;1;1;0.1400;3;0.3200;0.0000;0.0000;0.5703;0;0;0
GATE;5;5;5;834.8200;836.0600;1.2400;1;1;0.0200;1;0.2400;0.7100;0.0000;1.2501;164.4209;2.0011;56.9848
GATE;6;6;6;836.3600;837.4400;1.0800;1;0;0.0000;0;-1.0000;0.2418;0.0000;1.0856;147.5116;7.0305;55.7696
GATE;7;7;7;839.2600;840.0800;0.8199;1;1;0.2600;3;0.3000;0.0000;0.0000;0.5815;0;0;0
GATE;8;8;8;840.7200;841.6400;0.9200;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.6609;87.3674;1.8454;57.4023
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
