EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
GATE;1;1;1;637.9400;639.3600;1.4200;1;0;0.0000;0;-1.0000;0.3380;0.0000;1.2193;109.4823;4.3888;6.3321
GATE;2;2;2;643.2000;644.9000;1.7000;1;1;0.2200;3;0.7599;0.0000;1.7066;0.0000;0;0;0
GATE;3;3;3;646.8400;648.4400;1.6000;1;1;0.2200;3;0.7400;0.0000;1.2188;0.0170;0;0;0
GATE;4;4;4;655.4800;656.4800;1.0000;1;1;0.1200;2;0.4600;0.0000;0.6500;0.0000;0;0;0
GATE;5;5;5;656.5000;658.1800;1.6800;1;0;0.0000;0;-1.0000;0.6426;0.5150;1.6860;164.7325;2.9357;58.8915
GATE;6;6;6;658.5400;658.6200;0.0800;1;0;0.0000;0;-1.0000;0.0000;0.0630;0.0630;0;0;0
GATE;6;6;6;658.8000;658.9600;0.1600;1;0;0.0000;0;-1.0000;0.0000;0.1584;0.1584;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;668.2800;669.3600;1.0800;1;1;0.1400;3;0.4800;0.0000;0.9457;0.1357;0;0;0
GATE;5;5;5;669.3600;670.4800;1.1200;1;0;0.0000;0;-1.0000;0.3915;0.0000;1.1257;164.5284;3.4300;58.7156
GATE;6;6;6;670.6400;671.6000;0.9600;1;1;0.1000;3;0.4600;0.0000;0.6072;0.0000;0;0;0
GATE;7;7;7;673.5600;674.6000;1.0400;1;1;0.1400;3;0.4600;0.0000;0.7741;0.0000;0;0;0
GATE;8;8;8;675.1200;676.2200;1.1000;1;0;0.0000;0;-1.0000;0.8941;0.0000;1.0931;87.4506;2.4905;58.8178
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
