EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
GATE;1;1;1;26.5800;37.9800;11.4000;1;1;1.2600;3;5.0200;0.0000;11.4039;0.0000;0;0;0
GATE;2;2;2;58.4200;68.4400;10.0200;1;1;1.2400;3;4.4200;0.0000;4.3340;0.0000;0;0;0
GATE;2;2;2;68.5200;68.8200;0.3000;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0000;0;0;0
GATE;2;2;2;68.8800;69.0400;0.1600;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0000;0;0;0
GATE;2;2;2;69.2400;69.3200;0.0800;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0000;0;0;0
GATE;2;2;2;70.3800;70.5000;0.1200;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0000;0;0;0
GATE;3;3;3;76.8600;78.2600;1.4000;1;0;0.0000;0;-1.0000;0.7638;0.0000;1.3869;187.6929;3.6492;11.7912
GATE;4;4;4;86.6600;87.7200;1.0600;1;1;0.1200;3;0.4800;0.0000;1.0661;0.0000;0;0;0
GATE;5;5;5;87.7600;89.4400;1.6800;1;1;0.3200;3;0.4600;0.3183;0.1927;1.0658;164.7829;1.9072;59.5461
GATE;6;6;6;89.7800;91.1200;1.3400;1;1;0.1400;3;0.4000;0.6029;0.0000;1.3327;147.6246;2.5938;61.2888
DEATH;;;;;;;;;;;;;
