EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
DEATH;;;;;;;;;;;;;
GATE;1;1;1;56.9800;58.7200;1.7400;1;1;0.1400;2;0.5200;0.0000;0.0000;0.7739;109.4676;2.2435;11.8053
GATE;2;2;2;62.7600;63.8600;1.1000;1;0;0.0000;0;-1.0000;0.4704;0.0000;1.0925;0;0;0
DEATH;;;;;;;;;;;;;
GATE;1;1;1;71.9000;73.4000;1.5000;1;1;0.2600;4;0.6400;0.2573;0.0000;1.2176;0;0;0
GATE;2;2;2;77.8000;78.8400;1.0400;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.8718;157.5905;2.2703;9.5876
GATE;3;3;3;80.7600;82.2800;1.5200;1;0;0.0000;0;-1.0000;1.1630;0.0000;1.5258;187.4735;7.1136;11.4577
GATE;4;4;4;96.3000;97.5200;1.2200;1;0;0.0000;0;-1.0000;0.8245;0.0000;1.2299;178.3843;2.5166;58.2458
GATE;5;5;5;97.5600;99.6400;2.0800;1;0;0.0000;0;-1.0000;0.6635;0.0000;2.0965;164.7860;8.1858;60.1492
GATE;6;6;6;100.0400;100.4000;0.3600;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.3594;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;109.3600;110.1000;0.7400;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.6543;178.6543;2.2628;58.6240
GATE;5;5;5;110.1200;111.8800;1.7600;1;1;0.1800;3;0.6800;0.2347;0.0000;1.1296;164.6887;1.8471;60.7474
GATE;6;6;6;112.5800;114.1000;1.5200;1;0;0.0000;0;-1.0000;0.7846;0.0000;1.5232;147.4188;3.8594;56.7872
DEATH;;;;;;;;;;;;;
GATE;4;4;4;130.5800;132.2400;1.6600;1;0;0.0000;0;-1.0000;1.0109;0.0000;1.6739;178.7569;4.1622;59.9394
GATE;5;5;5;132.2800;133.7200;1.4400;1;0;0.0000;0;-1.0000;0.4341;0.0000;1.4505;164.5416;8.6242;57.0206
GATE;6;6;6;134.1000;134.4400;0.3400;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.3138;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;144.5400;145.7200;1.1800;1;1;0.1400;3;0.3400;0.0000;0.0000;0.9634;178.5639;2.2357;60.0832
DEATH;;;;;;;;;;;;;
GATE;4;4;4;154.1400;155.2200;1.0800;1;1;0.2800;3;0.4200;0.0000;0.0000;0.6417;0;0;0
GATE;5;5;5;155.2400;157.2400;2.0000;1;1;0.7200;3;0.3200;0.1530;0.0000;1.2332;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;171.6200;172.4000;0.7800;1;1;0.1200;3;0.3000;0.0000;0.0000;0.6002;178.5612;2.2402;59.3716
GATE;5;5;5;172.4000;173.9000;1.5000;1;1;0.5000;3;0.4600;0.0937;0.0000;0.9386;164.6473;1.8540;57.3142
GATE;6;6;6;174.0600;174.8000;0.7400;1;0;0.0000;0;-1.0000;0.4581;0.0000;0.7368;0;0;0
GATE;7;7;7;176.8400;177.9200;1.0800;1;0;0.0000;0;-1.0000;0.3556;0.0000;1.0743;108.4753;3.4871;57.3806
GATE;8;8;8;178.3400;179.3600;1.0200;1;0;0.0000;0;-1.0000;0.2744;0.0000;0.9898;87.4510;1.8174;58.1333
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
