EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
GATE;1;1;1;29.2800;30.9800;1.7000;1;1;0.2000;3;0.7600;0.0000;1.5380;0.0000;0;0;0
GATE;2;2;2;34.6600;36.2800;1.6200;1;1;0.2200;3;0.7200;0.0000;1.6068;0.0000;0;0;0
GATE;3;3;3;38.2000;39.5400;1.3400;1;1;0.1200;2;0.7600;0.0000;1.0989;0.2204;0;0;0
GATE;4;4;4;46.1000;47.1600;1.0600;1;1;0.1400;3;0.4800;0.0000;0.8419;0.0000;0;0;0
GATE;5;5;5;47.1800;47.9600;0.7800;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.4980;164.6071;1.8102;57.7245
GATE;6;6;6;48.3200;49.4000;1.0800;1;1;0.1200;3;0.5000;0.0000;0.8913;0.0000;0;0;0
GATE;7;7;7;51.3600;52.4000;1.0400;1;1;0.1600;3;0.4600;0.0000;1.0553;0.0000;0;0;0
GATE;8;8;8;53.0200;54.0800;1.0600;1;0;0.0000;0;-1.0000;0.2480;0.1051;0.9515;87.1438;2.2331;59.8989
