EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
GATE;1;1;1;1541.1200;1543.3400;2.2200;1;1;0.4199;4;1.0200;0.0849;0.0000;1.4770;109.6867;2.2446;6.4942
GATE;2;2;2;1546.5400;1549.0000;2.4601;1;0;0.0000;0;-1.0000;0.7939;0.0000;2.3406;157.5121;4.9898;7.3635
GATE;3;3;3;1550.5800;1551.7600;1.1801;1;0;0.0000;0;-1.0000;0.5140;0.0000;1.0975;187.6421;2.6938;9.8791
GATE;4;4;4;1560.8200;1562.0200;1.2001;1;0;0.0000;0;-1.0000;0.5448;0.0000;1.1982;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1571.0200;1572.7200;1.7000;1;1;0.3800;3;0.5000;0.7891;0.0000;1.5596;178.5665;2.2662;57.9375
GATE;5;5;5;1572.7800;1574.1600;1.3800;1;0;0.0000;0;-1.0000;0.6477;0.0000;1.3845;164.4668;6.6760;57.4339
GATE;6;6;6;1574.5000;1575.1400;0.6400;1;1;0.0200;1;0.6200;0.0000;0.0000;0.6333;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1583.3200;1584.4600;1.1400;1;0;0.0000;0;-1.0000;0.4327;0.0000;1.1192;178.8392;2.3670;57.9843
GATE;5;5;5;1584.4800;1585.7000;1.2200;1;0;0.0000;0;-1.0000;0.5223;0.0000;1.2169;164.6145;4.6003;58.3468
GATE;6;6;6;1585.8400;1586.6600;0.8199;1;1;0.2000;3;0.3000;0.4538;0.0000;0.8157;146.9869;2.2684;58.2955
GATE;7;7;7;1588.8200;1589.7800;0.9600;1;1;0.2001;3;0.4600;0.0000;0.0000;0.5187;108.0140;2.2577;56.9142
GATE;8;8;8;1590.2800;1594.4000;4.1201;1;1;1.1201;3;0.5200;0.5512;0.0000;2.8183;87.4517;2.0043;58.6728
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1611.9800;1613.2200;1.2400;1;0;0.0000;0;-1.0000;0.4022;0.0000;1.2319;178.7918;2.5520;59.8935
GATE;5;5;5;1613.2200;1614.0400;0.8199;1;0;0.0000;0;-1.0000;0.3308;0.0000;0.8181;0;0;0
GATE;6;6;6;1614.3600;1615.6400;1.2800;1;1;0.3400;3;0.4800;0.3953;0.0000;1.0980;147.2363;2.2502;59.2383
GATE;7;7;7;1617.4200;1619.0800;1.6600;1;0;0.0000;0;-1.0000;0.2364;0.0000;1.0503;108.0231;2.2622;60.6047
GATE;8;8;8;1619.8000;1620.5800;0.7800;1;1;0.0400;1;0.6600;0.0000;0.0000;0.7907;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1629.4600;1630.4600;1.0000;1;0;0.0000;0;-1.0000;0.1916;0.0000;1.0064;0;0;0
GATE;5;5;5;1630.5600;1633.3000;2.7400;1;0;0.0000;0;-1.0000;1.3696;0.0000;2.6952;164.5792;1.7914;62.5393
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1641.3200;1642.2600;0.9401;1;0;0.0000;0;-1.0000;0.2998;0.0000;0.9466;178.5522;3.1435;58.3913
GATE;5;5;5;1642.3000;1642.6000;0.3000;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.2687;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1651.3600;1653.3400;1.9800;1;0;0.0000;0;-1.0000;1.2499;0.0000;1.9750;178.6483;4.1097;58.8540
GATE;5;5;5;1653.3400;1654.7200;1.3800;1;0;0.0000;0;-1.0000;0.2894;0.0000;1.3957;164.4808;6.3476;58.9457
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1663.4600;1664.7200;1.2600;1;0;0.0000;0;-1.0000;0.3757;0.0000;0.7843;0;0;0
GATE;5;5;5;1664.7600;1665.5400;0.7799;1;1;0.0400;1;0.3400;0.0908;0.0000;0.6959;0;0;0
GATE;6;6;6;1665.7600;1666.9600;1.2000;1;1;0.2400;3;0.6000;0.1129;0.0000;0.6923;147.0782;2.2416;57.5254
GATE;7;7;7;1668.9000;1670.8200;1.9200;1;0;0.0000;0;-1.0000;1.3167;0.0000;1.9206;108.5383;3.2884;58.7818
GATE;8;8;8;1671.5600;1674.2000;2.6400;1;0;0.0000;0;-1.0000;0.1496;0.0000;2.2432;87.2217;3.8501;59.1094
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1683.1800;1684.3800;1.2001;1;0;0.0000;0;-1.0000;0.3243;0.0000;1.1973;178.8360;3.9096;59.3684
GATE;5;5;5;1684.3800;1686.1600;1.7799;1;1;0.2000;1;0.7600;0.5793;0.0000;0.9970;164.5608;1.8953;60.4597
GATE;6;6;6;1686.5400;1687.3000;0.7600;1;1;0.1400;2;0.6200;0.0000;0.0000;0.7579;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1696.2600;1697.3200;1.0599;1;0;0.0000;0;-1.0000;0.2354;0.0000;0.7206;178.5528;2.3657;57.9867
GATE;5;5;5;1697.3200;1698.3800;1.0601;1;1;0.0800;3;0.4000;0.1721;0.0000;0.6753;164.4376;1.8867;58.3430
GATE;6;6;6;1698.5600;1699.8600;1.3000;1;1;0.2799;3;0.7001;0.0944;0.0000;0.7351;0;0;0
GATE;7;7;7;1701.7800;1704.2400;2.4601;1;1;1.1801;3;0.3000;0.8760;0.0000;2.4593;108.4135;2.7009;58.9554
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1714.4400;1715.3800;0.9401;1;0;0.0000;0;-1.0000;0.2349;0.0000;0.9429;178.5340;3.0563;58.0149
GATE;5;5;5;1715.3800;1716.5000;1.1200;1;0;0.0000;0;-1.0000;0.1285;0.0000;0.9307;164.7740;1.8774;59.1625
GATE;6;6;6;1716.8400;1717.8000;0.9600;1;0;0.0000;0;-1.0000;0.0993;0.0000;0.6898;147.4421;2.4073;60.4006
GATE;7;7;7;1719.8800;1722.1200;2.2400;1;1;1.4000;3;0.7400;0.7394;0.0000;2.2239;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1734.7600;1735.9600;1.2000;1;0;0.0000;0;-1.0000;0.5180;0.0000;1.2067;178.7984;2.9772;57.9421
GATE;5;5;5;1735.9600;1737.2200;1.2600;1;1;0.4600;3;0.2800;0.0793;0.0000;0.9850;164.4561;1.8648;58.9010
GATE;6;6;6;1737.3400;1738.8400;1.5000;1;1;0.5399;3;0.2800;0.3762;0.0000;1.3759;146.9709;2.5803;56.8513
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1749.9600;1751.0400;1.0800;1;0;0.0000;0;-1.0000;0.2276;0.0000;1.0191;178.5167;3.5160;58.6676
GATE;5;5;5;1751.0400;1752.4600;1.4200;1;1;0.1200;3;0.4200;0.0542;0.0000;0.7946;164.3259;1.8948;60.3965
