EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
DEATH;;;;;;;;;;;;;
GATE;1;1;1;17.7400;19.5200;1.7800;1;1;0.2200;3;0.8000;0.0000;1.2757;0.0000;0;0;0
GATE;2;2;2;22.7800;24.4000;1.6200;1;1;0.3200;3;0.7400;0.0000;1.6225;0.0000;0;0;0
GATE;3;3;3;26.3600;28.4400;2.0800;1;1;0.2400;3;0.7200;0.0000;1.7095;0.3717;0;0;0
GATE;4;4;4;35.7000;36.7600;1.0600;1;1;0.1000;3;0.5200;0.0000;1.0350;0.0000;0;0;0
GATE;5;5;5;36.8200;37.4600;0.6400;1;0;0.0000;0;-1.0000;0.0000;0.0881;0.5569;0;0;0
GATE;6;6;6;37.9400;39.2000;1.2600;1;1;0.4000;3;0.4600;0.0000;1.0315;0.0000;0;0;0
GATE;7;7;7;41.1400;42.2200;1.0800;1;1;0.1200;3;0.5000;0.0000;1.0709;0.0000;0;0;0
GATE;8;8;8;42.7800;44.2000;1.4200;1;0;0.0000;0;-1.0000;0.5413;0.0000;1.4250;87.4017;3.7400;58.8567
GATE;8;8;8;44.4600;45.8200;1.3600;1;0;0.0000;0;-1.0000;0.6336;0.0000;1.0156;0;0;0
